Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV860;Constantinople;;;;;;;;;;;;x
PROV859;Gallipoli;;;;;;;;;;;;x
PROV858;Thrace;;;;;;;;;;;;x
PROV861;Scutari;;;;;;;;;;;;x
PROV839;Morea;;;;;;;;;;;;x
PROV842;Achaea;;;;;;;;;;;;x
PROV841;Messina;;;;;;;;;;;;x
PROV845;Naxos;;;;;;;;;;;;x
PROV846;Rhodos;;;;;;;;;;;;x
PROV844;Lesbos;;;;;;;;;;;;x
PROV828;Adrianople;;;;;;;;;;;;x
PROV830;Trajanople;;;;;;;;;;;;x
PROV829;Maroneia;;;;;;;;;;;;x
PROV823;Serres;;;;;;;;;;;;x
PROV822;Chalcidice;;;;;;;;;;;;x
PROV805;Thessalonica;;;;;;;;;;;;x
PROV835;Voeotia;;;;;;;;;;;;x
PROV827;Cephalonia;;;;;;;;;;;;x
PROV838;Euboea;;;;;;;;;;;;x
PROV832;Demetrias;;;;;;;;;;;;x
PROV837;Naupactia;;;;;;;;;;;;x
PROV824;Epirus;;;;;;;;;;;;x
PROV836;Phthiotis;;;;;;;;;;;;x
PROV833;Trikala;;;;;;;;;;;;x
PROV819;Kastoria;;;;;;;;;;;;x
GRE_834;Athens;;;;;;;;;;;;x
GRE_837;Epirus;;;;;;;;;;;;x
PROV808;Strymon;;;;;;;;;;;;x
PROV815;Philippopol;;;;;;;;;;;;x
PROV816;Irenople;;;;;;;;;;;;x
PROV812;Tyrnovo;;;;;;;;;;;;x
PROV817;Mesembria;;;;;;;;;;;;x
PROV814;Odessos;;;;;;;;;;;;x
PROV674;Constantia;;;;;;;;;;;;x
PROV818;Istrum;;;;;;;;;;;;x
PROV675;Aegyssus;;;;;;;;;;;;x
PROV811;Nicopolis;;;;;;;;;;;;x
PROV809;Serdica;;;;;;;;;;;;x
PROV810;Bononia;;;;;;;;;;;;x
PROV813;Simeonople;;;;;;;;;;;;x
PROV807;Vitolia;;;;;;;;;;;;x
PROV806;Scupi;;;;;;;;;;;;x
